Location,Occupied Housing Units,Home Value 2018,Home Value 2010,Home Value CAGR,Median Rent 2018,Median Rent 2010,Rent CAGR,Rental Vacancy Rate,Vacancy Expense (monthly),Vacancy Expense Final,Taxes,Insurance Final,Capex Final,Property Management,Insurance,Capex,CoCR,CoCR If invested in 2011,CoCR Delta,Rent to Price Ratio
"Flint , Michigan",40035,28700,65900,-9%,714,449,5.3%,7%,$51,$51, $	90.83 , $	21.04 , $	143.20 ,$71.40, $	89.42 ,$71.40,14.08%,6.13%,-7.95%,2.49%
"Detroit , Michigan",260383,45700,87600,-7%,798,544,4.3%,6%,$46,$46, $	139.33 , $	33.51 , $	153.93 ,$79.80, $	89.42 ,$79.80,9.06%,4.73%,-4.33%,1.75%
"Youngstown , Ohio",27457,44500,57900,-3%,657,389,6.0%,4%,$25,$26, $	81.33 , $	25.71 , $	135.66 ,$65.70, $	72.00 ,$65.70,8.69%,6.68%,-2.01%,1.48%
"Gary , Indiana",31389,67400,76700,-1%,766,522,4.4%,9%,$70,$70, $	86.67 , $	63.09 , $	149.89 ,$76.60, $	99.83 ,$76.60,5.68%,5.00%,-0.69%,1.14%
"Reading , Pennsylvania",28805,70800,70900,-0%,797,529,4.7%,11%,$89,$89, $	141.67 , $	33.41 , $	153.81 ,$79.70, $	66.75 ,$79.70,5.07%,5.06%,-0.01%,1.13%
"Trenton , New Jersey",27401,95100,140700,-4%,1029,746,3.6%,9%,$95,$95, $	374.58 , $	15.42 , $	181.59 ,$102.90, $	59.25 ,$102.90,3.28%,2.22%,-1.06%,1.08%
"Dayton , Ohio",57704,66500,82300,-2%,681,457,4.5%,8%,$55,$55, $	135.75 , $	38.43 , $	138.86 ,$68.10, $	72.00 ,$68.10,4.42%,3.57%,-0.85%,1.02%
"Cleveland , Ohio",169365,68500,90300,-3%,700,485,4.2%,7%,$46,$46, $	128.83 , $	39.58 , $	141.37 ,$70.00, $	72.00 ,$70.00,4.80%,3.64%,-1.16%,1.02%
"Rochester , New York",86057,82000,75200,1%,831,583,4.0%,8%,$64,$64, $	229.50 , $	23.52 , $	158.04 ,$83.10, $	77.92 ,$83.10,3.99%,4.35%,0.36%,1.01%
"Muncie , Indiana",27481,70800,76800,-1%,716,499,4.1%,8%,$57,$57, $	65.92 , $	66.27 , $	143.46 ,$71.60, $	99.83 ,$71.60,5.28%,4.87%,-0.41%,1.01%
"Lansing , Michigan",48926,80000,103800,-3%,807,577,3.8%,7%,$54,$54, $	171.75 , $	58.65 , $	155.06 ,$80.70, $	89.42 ,$80.70,4.30%,3.32%,-0.99%,1.01%
"Hammond , Indiana",28301,89300,100600,-1%,875,598,4.3%,6%,$52,$52, $	103.25 , $	83.58 , $	163.43 ,$87.50, $	99.83 ,$87.50,5.18%,4.60%,-0.58%,0.98%
"Kansas City , Kansas",55533,91600,106100,-2%,860,513,5.9%,7%,$61,$61, $	159.50 , $	162.40 , $	161.60 ,$86.00, $	161.58 ,$86.00,3.01%,2.59%,-0.41%,0.94%
"Canton , Ohio",30405,70000,83500,-2%,652,437,4.5%,5%,$31,$31, $	97.33 , $	40.45 , $	134.99 ,$65.20, $	72.00 ,$65.20,4.86%,4.07%,-0.79%,0.93%
"South Bend , Indiana",38601,82500,89400,-1%,767,562,3.5%,13%,$97,$97, $	87.25 , $	77.22 , $	150.02 ,$76.70, $	99.83 ,$76.70,4.05%,3.74%,-0.31%,0.93%
"Buffalo , New York",110701,82900,72100,2%,757,464,5.6%,5%,$35,$35, $	135.67 , $	23.78 , $	148.74 ,$75.70, $	77.92 ,$75.70,4.90%,5.63%,0.73%,0.91%
"Memphis , Tennessee",250812,97000,102900,-1%,884,572,5.0%,10%,$84,$84, $	151.25 , $	91.42 , $	164.52 ,$88.40, $	126.75 ,$88.40,3.77%,3.55%,-0.22%,0.91%
"Jackson , Mississippi",62109,90800,94000,-0%,824,547,4.7%,8%,$67,$67, $	106.92 , $	180.00 , $	157.17 ,$82.40, $	190.83 ,$82.40,3.05%,2.95%,-0.10%,0.91%
"Akron , Ohio",84761,81400,93200,-1%,735,516,4.0%,6%,$47,$47, $	147.25 , $	47.04 , $	145.92 ,$73.50, $	72.00 ,$73.50,4.04%,3.53%,-0.51%,0.90%
"Birmingham , Alabama",89880,89200,91100,-0%,797,481,5.8%,10%,$77,$77, $	64.50 , $	145.57 , $	153.81 ,$79.70, $	192.83 ,$79.70,3.71%,3.64%,-0.08%,0.89%
"Toledo , Ohio",117864,79900,99200,-2%,700,475,4.4%,7%,$48,$48, $	145.25 , $	46.17 , $	141.37 ,$70.00, $	72.00 ,$70.00,3.74%,3.01%,-0.73%,0.88%
"Largo , Florida",37327,117900,167200,-4%,1019,743,3.6%,6%,$60,$60, $	115.50 , $	164.52 , $	180.44 ,$101.90, $	297.92 ,$101.90,4.04%,2.85%,-1.19%,0.86%
"Tamarac , Florida",26787,156200,183300,-2%,1332,1036,2.8%,6%,$73,$73, $	170.92 , $	217.96 , $	214.76 ,$133.20, $	297.92 ,$133.20,4.01%,3.42%,-0.59%,0.85%
"Syracuse , New York",55306,93200,85400,1%,793,539,4.4%,9%,$71,$71, $	245.08 , $	26.73 , $	153.31 ,$79.30, $	77.92 ,$79.30,2.81%,3.06%,0.26%,0.85%
"Sunrise , Florida",31909,179200,223400,-2%,1509,1125,3.3%,9%,$139,$139, $	169.92 , $	250.06 , $	232.90 ,$150.90, $	297.92 ,$150.90,3.79%,3.04%,-0.75%,0.84%
"Rockford , Illinois",59403,89700,112000,-2%,752,532,3.9%,7%,$52,$52, $	266.75 , $	58.75 , $	148.11 ,$75.20, $	87.75 ,$75.20,2.02%,1.62%,-0.40%,0.84%
"Deerfield Beach , Florida",31863,153600,217900,-4%,1287,984,3.0%,4%,$51,$51, $	161.92 , $	214.34 , $	210.02 ,$128.70, $	297.92 ,$128.70,4.07%,2.87%,-1.20%,0.84%
"Baytown , Texas",26581,111800,106900,0%,924,573,5.5%,8%,$78,$78, $	232.83 , $	132.25 , $	169.32 ,$92.40, $	162.08 ,$92.40,2.36%,2.46%,0.11%,0.83%
"Mesquite , Texas",46503,129100,118400,1%,1065,717,4.5%,8%,$87,$87, $	210.08 , $	152.71 , $	185.70 ,$106.50, $	162.08 ,$106.50,3.00%,3.27%,0.27%,0.82%
"Warren , Michigan",53674,111700,129400,-2%,920,643,4.1%,5%,$43,$43, $	208.08 , $	81.90 , $	168.85 ,$92.00, $	89.42 ,$92.00,3.50%,3.02%,-0.48%,0.82%
"Deltona , Florida",30295,139000,182000,-3%,1137,885,2.8%,6%,$73,$73, $	108.17 , $	193.96 , $	193.76 ,$113.70, $	297.92 ,$113.70,3.92%,3.00%,-0.93%,0.82%
"Evansville , Indiana",51660,92300,91000,0%,755,488,5.0%,8%,$62,$62, $	74.00 , $	86.39 , $	148.49 ,$75.50, $	99.83 ,$75.50,4.01%,4.07%,0.06%,0.82%
"Decatur , Illinois",31062,81800,84000,-0%,669,458,4.3%,8%,$51,$51, $	163.00 , $	53.57 , $	137.26 ,$66.90, $	87.75 ,$66.90,2.90%,2.82%,-0.08%,0.82%
"Lorain , Ohio",25460,85400,106400,-2%,697,490,4.0%,6%,$44,$44, $	133.50 , $	49.35 , $	140.97 ,$69.70, $	72.00 ,$69.70,3.65%,2.93%,-0.72%,0.82%
"Augusta-Richmond County consolidated government (balance), Georgia",70390,104600,107100,-0%,851,533,5.3%,11%,$91,$91, $	114.50 , $	76.53 , $	160.50 ,$85.10, $	91.92 ,$85.10,3.71%,3.62%,-0.09%,0.81%
"Brownsville , Texas",51585,87600,88500,-0%,710,418,6.1%,8%,$57,$57, $	187.42 , $	103.62 , $	142.68 ,$71.00, $	162.08 ,$71.00,2.03%,2.01%,-0.02%,0.81%
"Beaumont , Texas",46233,104400,108500,-0%,843,531,5.3%,5%,$44,$44, $	224.67 , $	123.49 , $	159.52 ,$84.30, $	162.08 ,$84.30,2.38%,2.29%,-0.09%,0.81%
"Wichita Falls , Texas",36723,97400,94500,0%,784,525,4.6%,10%,$80,$80, $	196.50 , $	115.21 , $	152.17 ,$78.40, $	162.08 ,$78.40,1.99%,2.05%,0.06%,0.80%
"Warner Robins , Georgia",29306,111000,117700,-1%,893,598,4.6%,7%,$66,$66, $	106.67 , $	81.22 , $	165.61 ,$89.30, $	91.92 ,$89.30,4.15%,3.92%,-0.24%,0.80%
"Abilene , Texas",42327,114000,99900,1%,912,529,6.2%,7%,$66,$66, $	199.17 , $	134.85 , $	167.89 ,$91.20, $	162.08 ,$91.20,2.67%,3.04%,0.38%,0.80%
"Erie , Pennsylvania",40182,87800,83700,1%,698,454,4.9%,8%,$54,$54, $	200.50 , $	41.43 , $	141.10 ,$69.80, $	66.75 ,$69.80,2.61%,2.73%,0.13%,0.79%
"Kokomo , Indiana",25477,87100,89600,-0%,692,478,4.2%,8%,$57,$57, $	58.25 , $	81.52 , $	140.31 ,$69.20, $	99.83 ,$69.20,3.93%,3.82%,-0.11%,0.79%
"St. Clair Shores , Michigan",26639,125500,139900,-1%,997,656,4.8%,4%,$38,$40, $	194.75 , $	92.01 , $	177.90 ,$99.70, $	89.42 ,$99.70,3.76%,3.37%,-0.39%,0.79%
"Pittsburgh , Pennsylvania",136275,116300,92700,3%,922,572,5.4%,5%,$46,$46, $	155.17 , $	54.87 , $	169.09 ,$92.20, $	66.75 ,$92.20,4.17%,5.24%,1.06%,0.79%
"Racine , Wisconsin",30378,105300,130700,-2%,824,552,4.6%,7%,$56,$56, $	251.83 , $	45.76 , $	157.17 ,$82.40, $	65.67 ,$82.40,2.63%,2.12%,-0.51%,0.78%
"Independence , Missouri",48166,107300,113300,-1%,839,529,5.3%,6%,$48,$48, $	122.67 , $	138.58 , $	159.03 ,$83.90, $	143.50 ,$83.90,3.21%,3.04%,-0.17%,0.78%
"Pasadena , Texas",48724,117400,110400,1%,917,591,5.0%,9%,$79,$79, $	222.83 , $	138.87 , $	168.49 ,$91.70, $	162.08 ,$91.70,2.21%,2.35%,0.14%,0.78%
"Boynton Beach , Florida",28698,187100,221700,-2%,1458,1055,3.7%,8%,$117,$117, $	189.58 , $	261.08 , $	227.76 ,$145.80, $	297.92 ,$145.80,3.32%,2.80%,-0.52%,0.78%
"Topeka , Kansas",53312,102600,98500,0%,790,479,5.7%,12%,$96,$96, $	155.00 , $	181.90 , $	152.93 ,$79.00, $	161.58 ,$79.00,1.47%,1.53%,0.06%,0.77%
"Westland , Michigan",35144,112900,135300,-2%,869,661,3.1%,5%,$43,$43, $	203.33 , $	82.78 , $	162.70 ,$86.90, $	89.42 ,$86.90,3.09%,2.58%,-0.51%,0.77%
"Spring Hill, Florida",41071,132700,167900,-3%,1019,761,3.3%,6%,$65,$65, $	97.92 , $	185.17 , $	180.44 ,$101.90, $	297.92 ,$101.90,3.51%,2.78%,-0.74%,0.77%
"Allentown , Pennsylvania",42151,126700,145400,-2%,968,676,4.1%,7%,$69,$69, $	233.67 , $	59.78 , $	174.52 ,$96.80, $	66.75 ,$96.80,3.17%,2.76%,-0.41%,0.76%
"Dearborn , Michigan",30897,134000,147500,-1%,1019,726,3.8%,5%,$55,$55, $	285.00 , $	98.25 , $	180.44 ,$101.90, $	89.42 ,$101.90,2.67%,2.43%,-0.24%,0.76%
"Cheektowaga, New York",33144,109400,97400,1%,825,589,3.8%,4%,$35,$35, $	315.08 , $	31.38 , $	157.30 ,$82.50, $	77.92 ,$82.50,2.23%,2.50%,0.27%,0.75%
"Waukegan , Illinois",29077,125500,165400,-3%,946,719,3.1%,5%,$50,$50, $	354.92 , $	82.20 , $	171.93 ,$94.60, $	87.75 ,$94.60,1.84%,1.39%,-0.44%,0.75%
"Palm Bay , Florida",38774,136600,163500,-2%,1027,765,3.3%,4%,$41,$41, $	90.33 , $	190.61 , $	181.36 ,$102.70, $	297.92 ,$102.70,3.70%,3.09%,-0.61%,0.75%
"Killeen , Texas",51887,121500,108500,1%,912,619,4.4%,11%,$103,$103, $	231.58 , $	143.72 , $	167.89 ,$91.20, $	162.08 ,$91.20,1.72%,1.93%,0.21%,0.75%
"Scranton , Pennsylvania",30386,102300,110400,-1%,765,474,5.5%,4%,$31,$31, $	200.17 , $	48.27 , $	149.76 ,$76.50, $	66.75 ,$76.50,3.05%,2.82%,-0.22%,0.75%
"Corpus Christi , Texas",116562,133200,120500,1%,996,605,5.7%,7%,$72,$72, $	256.42 , $	157.56 , $	177.79 ,$99.60, $	162.08 ,$99.60,2.10%,2.32%,0.22%,0.75%
"Kalamazoo , Michigan",28665,103700,108900,-1%,775,578,3.3%,4%,$30,$31, $	208.17 , $	76.03 , $	151.03 ,$77.50, $	89.42 ,$77.50,2.68%,2.55%,-0.13%,0.75%
"Waterbury , Connecticut",40579,128800,166800,-3%,959,698,3.6%,8%,$72,$72, $	412.92 , $	29.87 , $	173.47 ,$95.90, $	75.17 ,$95.90,1.63%,1.26%,-0.37%,0.74%
"Parma , Ohio",33551,112100,132200,-2%,833,620,3.3%,5%,$45,$45, $	227.83 , $	64.78 , $	158.29 ,$83.30, $	72.00 ,$83.30,2.72%,2.30%,-0.41%,0.74%
"Southfield , Michigan",32235,146200,163900,-1%,1085,815,3.2%,7%,$73,$73, $	288.67 , $	107.19 , $	187.96 ,$108.50, $	89.42 ,$108.50,2.63%,2.34%,-0.28%,0.74%
"Port St. Lucie , Florida",63807,180400,192800,-1%,1334,985,3.4%,7%,$95,$95, $	191.67 , $	251.73 , $	214.97 ,$133.40, $	297.92 ,$133.40,2.98%,2.79%,-0.19%,0.74%
"Garland , Texas",75439,146200,121200,2%,1078,718,4.6%,6%,$65,$65, $	250.83 , $	172.94 , $	187.17 ,$107.80, $	162.08 ,$107.80,2.42%,2.92%,0.50%,0.74%
"Lakeland , Florida",40938,132100,163700,-2%,968,686,3.9%,10%,$95,$95, $	109.92 , $	184.33 , $	174.52 ,$96.80, $	297.92 ,$96.80,2.79%,2.25%,-0.54%,0.73%
"Lafayette , Indiana",30942,109900,107700,0%,800,571,3.8%,5%,$42,$42, $	73.17 , $	102.87 , $	154.18 ,$80.00, $	99.83 ,$80.00,3.80%,3.88%,0.08%,0.73%
"Town 'n' Country, Florida",31534,158300,193500,-2%,1152,847,3.5%,8%,$96,$96, $	128.67 , $	220.89 , $	195.42 ,$115.20, $	297.92 ,$115.20,3.00%,2.46%,-0.55%,0.73%
"Lawton , Oklahoma",32994,113900,100100,1%,828,501,5.7%,13%,$105,$105, $	102.25 , $	285.68 , $	157.67 ,$82.80, $	220.92 ,$82.80,1.00%,1.13%,0.14%,0.73%
"Montgomery , Alabama",79368,119600,124600,-0%,867,553,5.1%,9%,$77,$77, $	41.58 , $	195.19 , $	162.46 ,$86.70, $	192.83 ,$86.70,3.05%,2.93%,-0.12%,0.72%
"Lehigh Acres, Florida",33477,140800,164700,-2%,1020,800,2.7%,4%,$38,$41, $	92.83 , $	196.47 , $	180.56 ,$102.00, $	297.92 ,$102.00,3.47%,2.97%,-0.50%,0.72%
"Wyoming , Michigan",27731,116100,120100,-0%,832,611,3.5%,5%,$37,$37, $	167.17 , $	85.12 , $	158.16 ,$83.20, $	89.42 ,$83.20,3.11%,3.01%,-0.10%,0.72%
"Fayetteville , North Carolina",80598,129700,120800,1%,928,640,4.2%,8%,$76,$76, $	140.00 , $	52.35 , $	169.80 ,$92.80, $	64.42 ,$92.80,3.67%,3.94%,0.27%,0.72%
"Milwaukee , Wisconsin",229556,118000,143000,-2%,842,600,3.8%,6%,$51,$51, $	271.75 , $	51.28 , $	159.40 ,$84.20, $	65.67 ,$84.20,2.28%,1.88%,-0.40%,0.71%
"Albany , Georgia",28741,101100,106300,-1%,721,440,5.6%,8%,$59,$59, $	129.50 , $	73.97 , $	144.11 ,$72.10, $	91.92 ,$72.10,2.87%,2.73%,-0.14%,0.71%
"Waco , Texas",48050,116600,95600,2%,828,551,4.6%,5%,$44,$44, $	248.83 , $	137.92 , $	157.67 ,$82.80, $	162.08 ,$82.80,1.61%,1.97%,0.35%,0.71%
"Lubbock , Texas",94398,131500,112000,2%,928,589,5.2%,9%,$86,$86, $	232.08 , $	155.55 , $	169.80 ,$92.80, $	162.08 ,$92.80,1.75%,2.05%,0.30%,0.71%
"Odessa , Texas",40319,149900,97000,5%,1052,502,8.6%,9%,$97,$97, $	209.75 , $	177.32 , $	184.22 ,$105.20, $	162.08 ,$105.20,2.23%,3.45%,1.22%,0.70%
"San Antonio , Texas",497794,136800,122300,1%,958,617,5.0%,8%,$75,$75, $	279.25 , $	161.82 , $	173.35 ,$95.80, $	162.08 ,$95.80,1.52%,1.70%,0.18%,0.70%
"Grand Prairie , Texas",60503,151300,131800,2%,1058,688,4.9%,5%,$54,$54, $	294.58 , $	178.97 , $	184.90 ,$105.80, $	162.08 ,$105.80,1.90%,2.18%,0.28%,0.70%
"Gulfport , Mississippi",28478,120600,134000,-1%,843,672,2.6%,10%,$86,$86, $	98.00 , $	239.07 , $	159.52 ,$84.30, $	190.83 ,$84.30,1.75%,1.58%,-0.18%,0.70%
"Brandon, Florida",42453,174300,193500,-1%,1214,859,3.9%,7%,$83,$83, $	136.08 , $	243.22 , $	202.20 ,$121.40, $	297.92 ,$121.40,2.95%,2.66%,-0.29%,0.70%
"Miami Gardens , Florida",30379,170900,206900,-2%,1182,831,4.0%,5%,$63,$63, $	154.25 , $	238.48 , $	198.72 ,$118.20, $	297.92 ,$118.20,2.88%,2.38%,-0.50%,0.69%
"San Angelo , Texas",36854,125300,96400,3%,864,529,5.6%,7%,$62,$62, $	209.25 , $	148.22 , $	162.09 ,$86.40, $	162.08 ,$86.40,1.88%,2.44%,0.56%,0.69%
"St. Joseph , Missouri",28666,109900,104500,1%,756,474,5.3%,11%,$83,$83, $	89.33 , $	141.93 , $	148.62 ,$75.60, $	143.50 ,$75.60,2.37%,2.50%,0.12%,0.69%
"Mobile , Alabama",77668,121700,130200,-1%,836,529,5.2%,10%,$84,$84, $	70.33 , $	198.61 , $	158.66 ,$83.60, $	192.83 ,$83.60,2.38%,2.22%,-0.16%,0.69%
"Sioux City , Iowa",31244,110300,92900,2%,752,473,5.3%,5%,$41,$41, $	172.83 , $	106.21 , $	148.11 ,$75.20, $	100.42 ,$75.20,2.27%,2.70%,0.43%,0.68%
"Port Orange , Florida",25746,165800,210300,-3%,1130,804,3.9%,5%,$55,$55, $	152.42 , $	231.36 , $	192.99 ,$113.00, $	297.92 ,$113.00,2.79%,2.20%,-0.59%,0.68%
"Riverview, Florida",30618,198000,217800,-1%,1347,1012,3.2%,8%,$104,$104, $	202.67 , $	276.29 , $	216.33 ,$134.70, $	297.92 ,$134.70,2.50%,2.28%,-0.23%,0.68%
"Grand Rapids , Michigan",74202,131700,121200,1%,895,595,4.6%,4%,$35,$36, $	160.00 , $	96.56 , $	165.85 ,$89.50, $	89.42 ,$89.50,3.16%,3.44%,0.27%,0.68%
"Aurora , Illinois",63204,178300,208900,-2%,1205,827,4.3%,4%,$51,$51, $	432.25 , $	116.78 , $	201.22 ,$120.50, $	87.75 ,$120.50,1.91%,1.63%,-0.28%,0.68%
"Laredo , Texas",69908,122900,123000,-0%,826,517,5.3%,7%,$58,$58, $	265.00 , $	145.38 , $	157.42 ,$82.60, $	162.08 ,$82.60,1.15%,1.15%,-0.00%,0.67%
"Baltimore , Maryland",238436,156400,171200,-1%,1051,682,4.9%,8%,$84,$84, $	241.42 , $	35.91 , $	184.11 ,$105.10, $	72.17 ,$105.10,3.07%,2.81%,-0.27%,0.67%
"Indianapolis city (balance), Indiana",335373,129300,126100,0%,865,586,4.4%,8%,$73,$73, $	115.67 , $	121.02 , $	162.21 ,$86.50, $	99.83 ,$86.50,2.85%,2.92%,0.07%,0.67%
"Bridgeport , Connecticut",50547,173100,245200,-4%,1157,813,4.0%,8%,$93,$93, $	507.42 , $	40.14 , $	195.97 ,$115.70, $	75.17 ,$115.70,1.42%,1.00%,-0.42%,0.67%
"Edinburg , Texas",26603,113300,106500,1%,753,496,4.7%,7%,$53,$53, $	267.42 , $	134.02 , $	148.23 ,$75.30, $	162.08 ,$75.30,0.79%,0.84%,0.05%,0.66%
"Fort Wayne , Indiana",105174,110600,105400,1%,735,512,4.1%,8%,$55,$55, $	91.25 , $	103.52 , $	145.92 ,$73.50, $	99.83 ,$73.50,2.88%,3.02%,0.14%,0.66%
"Yuma , Arizona",33960,134100,185700,-4%,891,640,3.7%,8%,$75,$75, $	114.75 , $	49.39 , $	165.37 ,$89.10, $	67.75 ,$89.10,3.56%,2.57%,-0.99%,0.66%
"Amarillo , Texas",75563,127200,113100,1%,839,540,5.0%,9%,$78,$78, $	209.08 , $	150.46 , $	159.03 ,$83.90, $	162.08 ,$83.90,1.50%,1.68%,0.19%,0.66%
"Bryan , Texas",29985,135500,117000,2%,892,554,5.4%,7%,$59,$59, $	230.17 , $	160.28 , $	165.49 ,$89.20, $	162.08 ,$89.20,1.66%,1.93%,0.26%,0.66%
"Irving , Texas",84772,165000,143600,2%,1086,697,5.1%,7%,$71,$71, $	304.75 , $	195.18 , $	188.07 ,$108.60, $	162.08 ,$108.60,1.59%,1.83%,0.24%,0.66%
"Fort Worth , Texas",291739,154300,131600,2%,1015,619,5.6%,9%,$94,$94, $	318.42 , $	182.52 , $	179.98 ,$101.50, $	162.08 ,$101.50,1.07%,1.26%,0.19%,0.66%
"El Paso , Texas",225264,123900,119100,0%,814,524,5.0%,10%,$85,$85, $	267.58 , $	146.56 , $	155.93 ,$81.40, $	162.08 ,$81.40,0.75%,0.78%,0.03%,0.66%
"The Villages, Florida",42963,269300,225200,2%,1752,1128,5.0%,43%,$753,$753, $	240.67 , $	375.78 , $	256.64 ,$175.20, $	297.92 ,$175.20,-0.22%,-0.26%,-0.04%,0.65%
"Waterloo , Iowa",28550,114000,106500,1%,740,495,4.6%,7%,$50,$50, $	180.50 , $	109.77 , $	146.57 ,$74.00, $	100.42 ,$74.00,1.88%,2.02%,0.13%,0.65%
"Owensboro , Kentucky",25155,111400,100600,1%,723,422,6.2%,8%,$59,$59, $	106.83 , $	99.20 , $	144.37 ,$72.30, $	112.92 ,$72.30,2.60%,2.87%,0.28%,0.65%
"Columbus , Ohio",352543,143000,142900,0%,928,610,4.8%,5%,$47,$47, $	234.00 , $	82.63 , $	169.80 ,$92.80, $	72.00 ,$92.80,2.53%,2.53%,0.00%,0.65%
"Des Moines , Iowa",84140,127200,120600,1%,822,591,3.7%,6%,$45,$45, $	229.25 , $	122.48 , $	156.93 ,$82.20, $	100.42 ,$82.20,1.75%,1.85%,0.10%,0.65%
"Savannah , Georgia",53187,151500,153300,-0%,977,641,4.8%,7%,$70,$70, $	143.67 , $	110.85 , $	175.57 ,$97.70, $	91.92 ,$97.70,3.00%,2.97%,-0.04%,0.64%
"Philadelphia , Pennsylvania",594778,156800,155400,0%,1007,656,4.9%,7%,$68,$68, $	141.75 , $	73.98 , $	179.06 ,$100.70, $	66.75 ,$100.70,3.39%,3.42%,0.03%,0.64%
"Jackson , Tennessee",25773,132500,117700,1%,848,480,6.5%,11%,$91,$91, $	110.50 , $	124.88 , $	160.14 ,$84.80, $	126.75 ,$84.80,2.51%,2.82%,0.32%,0.64%
"Jacksonville , Florida",333866,160900,179700,-1%,1029,724,4.0%,7%,$72,$72, $	136.25 , $	224.52 , $	181.59 ,$102.90, $	297.92 ,$102.90,2.32%,2.08%,-0.24%,0.64%
"Waldorf, Maryland",27263,267300,328000,-2%,1706,1161,4.4%,5%,$90,$90, $	264.92 , $	61.38 , $	252.24 ,$170.60, $	72.17 ,$170.60,3.89%,3.17%,-0.72%,0.64%
"San Tan Valley, Arizona",28402,197400,197100,0%,1256,917,3.6%,7%,$92,$92, $	109.42 , $	72.70 , $	206.72 ,$125.60, $	67.75 ,$125.60,3.95%,3.96%,0.01%,0.64%
"Clarksville , Tennessee",54766,148700,125500,2%,946,591,5.4%,12%,$109,$109, $	112.75 , $	140.15 , $	171.93 ,$94.60, $	126.75 ,$94.60,2.56%,3.04%,0.47%,0.64%
"North Little Rock , Arkansas",26612,131700,122000,1%,837,535,5.1%,15%,$125,$125, $	95.83 , $	240.51 , $	158.78 ,$83.70, $	171.92 ,$83.70,1.22%,1.31%,0.10%,0.64%
"Tonawanda, New York",25793,132300,112600,2%,839,573,4.3%,5%,$42,$42, $	312.92 , $	37.95 , $	159.03 ,$83.90, $	77.92 ,$83.90,1.84%,2.17%,0.32%,0.63%
"Daytona Beach , Florida",28817,141000,173300,-2%,894,644,3.7%,6%,$52,$52, $	108.00 , $	196.75 , $	165.73 ,$89.40, $	297.92 ,$89.40,2.40%,1.95%,-0.45%,0.63%
"Springfield , Missouri",73665,115200,102600,1%,730,492,4.5%,8%,$55,$55, $	86.00 , $	148.78 , $	145.27 ,$73.00, $	143.50 ,$73.00,2.31%,2.59%,0.28%,0.63%
"Knoxville , Tennessee",79579,128800,118100,1%,815,537,4.7%,6%,$51,$51, $	110.08 , $	121.39 , $	156.06 ,$81.50, $	126.75 ,$81.50,2.74%,2.99%,0.25%,0.63%
"Arlington , Texas",134984,157600,134500,2%,997,639,5.1%,9%,$93,$93, $	288.25 , $	186.42 , $	177.90 ,$99.70, $	162.08 ,$99.70,1.16%,1.36%,0.20%,0.63%
"Temple , Texas",26926,138700,114700,2%,877,550,5.3%,12%,$104,$104, $	251.08 , $	164.07 , $	163.67 ,$87.70, $	162.08 ,$87.70,0.92%,1.11%,0.19%,0.63%
"Pompano Beach , Florida",41084,191900,238200,-2%,1210,905,3.3%,7%,$80,$80, $	169.67 , $	267.78 , $	201.76 ,$121.00, $	297.92 ,$121.00,2.31%,1.86%,-0.45%,0.63%
"Rock Hill , South Carolina",28112,147800,139800,1%,928,585,5.3%,7%,$67,$67, $	99.17 , $	125.73 , $	169.80 ,$92.80, $	116.83 ,$92.80,3.03%,3.21%,0.17%,0.63%
"Broken Arrow , Oklahoma",38723,163900,147000,1%,1026,653,5.1%,5%,$46,$46, $	158.92 , $	411.08 , $	181.25 ,$102.60, $	220.92 ,$102.60,0.92%,1.03%,0.11%,0.63%
"Melbourne , Florida",33030,155300,174400,-1%,966,744,2.9%,7%,$70,$70, $	111.75 , $	216.71 , $	174.29 ,$96.60, $	297.92 ,$96.60,2.30%,2.04%,-0.25%,0.62%
"Peoria , Illinois",46280,126400,123000,0%,784,529,4.5%,11%,$84,$84, $	276.50 , $	82.79 , $	152.17 ,$78.40, $	87.75 ,$78.40,1.05%,1.08%,0.03%,0.62%
"McAllen , Texas",45065,123900,112600,1%,767,512,4.6%,8%,$61,$61, $	249.00 , $	146.56 , $	150.02 ,$76.70, $	162.08 ,$76.70,0.81%,0.90%,0.08%,0.62%
"Columbus , Georgia",72924,141700,139700,0%,877,543,5.5%,5%,$41,$41, $	127.75 , $	103.68 , $	163.67 ,$87.70, $	91.92 ,$87.70,2.99%,3.03%,0.04%,0.62%
"Springfield , Illinois",50890,127500,117600,1%,789,533,4.5%,6%,$43,$43, $	237.33 , $	83.51 , $	152.80 ,$78.90, $	87.75 ,$78.90,1.82%,1.97%,0.15%,0.62%
"St. Louis , Missouri",140455,131900,135400,-0%,810,502,5.5%,8%,$64,$64, $	125.25 , $	170.35 , $	155.43 ,$81.00, $	143.50 ,$81.00,1.95%,1.90%,-0.05%,0.61%
"New Britain , Connecticut",28383,159300,178900,-1%,978,687,4.0%,8%,$82,$82, $	391.42 , $	36.94 , $	175.69 ,$97.80, $	75.17 ,$97.80,1.46%,1.30%,-0.16%,0.61%
"Houston , Texas",848340,161300,135400,2%,990,639,5.0%,9%,$86,$86, $	302.00 , $	190.80 , $	177.09 ,$99.00, $	162.08 ,$99.00,1.00%,1.20%,0.19%,0.61%
