Location,Occupied Housing Units,Home Value 2018,Home Value 2010,Home Value CAGR,Median Rent 2018,Median Rent 2010,Rent CAGR,Rental Vacancy Rate,Vacancy Expense (monthly),Vacancy Expense Final,Taxes,Insurance Final,Capex Final,Property Management,Insurance,Capex,CoCR,CoCR If invested in 2011,CoCR Delta,Rent to Price Ratio
"West Valley City , Utah",37584,199500,180800,1%,1079,696,5.0%,3%,$28,$43, $	129.33 , $	43.18 , $	187.28 ,$107.90, $	53.50 ,$107.90,3.42%,3.77%,0.35%,0.54%
"Carrollton , Texas",47913,217700,166600,3%,1175,765,4.9%,3%,$29,$47, $	337.00 , $	257.52 , $	197.95 ,$117.50, $	162.08 ,$117.50,1.20%,1.57%,0.37%,0.54%
"Round Rock , Texas",37830,230100,166500,4%,1238,789,5.1%,8%,$94,$94, $	398.58 , $	272.18 , $	204.79 ,$123.80, $	162.08 ,$123.80,0.75%,1.04%,0.29%,0.54%
"Lake Charles , Louisiana",32012,149700,124700,2%,803,507,5.2%,8%,$63,$63, $	50.00 , $	299.15 , $	154.56 ,$80.30, $	248.25 ,$80.30,1.25%,1.50%,0.25%,0.54%
"Cedar Rapids , Iowa",54431,140200,131700,1%,751,528,4.0%,9%,$65,$65, $	221.92 , $	135.00 , $	147.98 ,$75.10, $	100.42 ,$75.10,0.91%,0.97%,0.06%,0.54%
"Green Bay , Wisconsin",42331,131100,132900,-0%,701,527,3.2%,4%,$27,$28, $	228.67 , $	56.97 , $	141.50 ,$70.10, $	65.67 ,$70.10,1.61%,1.59%,-0.02%,0.53%
"Richardson , Texas",42723,250100,179700,4%,1336,853,5.1%,7%,$98,$98, $	380.50 , $	295.84 , $	215.18 ,$133.60, $	162.08 ,$133.60,1.02%,1.42%,0.40%,0.53%
"Louisville/Jefferson County metro government (balance), Kentucky",246382,152300,141800,1%,812,530,4.9%,7%,$59,$59, $	124.75 , $	135.63 , $	155.68 ,$81.20, $	112.92 ,$81.20,2.01%,2.16%,0.15%,0.53%
"Denton , Texas",46561,196900,149100,3%,1046,663,5.2%,7%,$70,$70, $	336.25 , $	232.91 , $	183.54 ,$104.60, $	162.08 ,$104.60,0.72%,0.95%,0.23%,0.53%
"Lynchburg , Virginia",28069,158800,147400,1%,843,517,5.6%,6%,$48,$48, $	123.25 , $	48.62 , $	159.52 ,$84.30, $	79.92 ,$84.30,2.87%,3.09%,0.22%,0.53%
"Warwick , Rhode Island",34744,213300,235900,-1%,1132,902,2.6%,3%,$37,$45, $	304.08 , $	80.56 , $	193.21 ,$113.20, $	100.42 ,$113.20,2.23%,2.01%,-0.21%,0.53%
"Maple Grove , Minnesota",27115,280700,265500,1%,1487,1074,3.7%,6%,$91,$91, $	297.58 , $	204.65 , $	230.69 ,$148.70, $	111.08 ,$148.70,2.20%,2.33%,0.13%,0.53%
